AARS1	hsa:16	alanyl-tRNA synthetase 1
DCTN2	hsa:10540	dynactin subunit 2
DCX	hsa:1641	doublecortin
DDC	hsa:1644	dopa decarboxylase
DDHD2	hsa:23259	DDHD domain containing 2
DDOST	hsa:1650	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
DDX11	hsa:1663	DEAD/H-box helicase 11
DDX23	hsa:9416	DEAD-box helicase 23
DDX3X	hsa:1654	DEAD-box helicase 3 X-linked
DDX53	hsa:168400	DEAD-box helicase 53
DDX6	hsa:1656	DEAD-box helicase 6
DEAF1	hsa:10522	DEAF1 transcription factor
DEF6	hsa:50619	DEF6 guanine nucleotide exchange factor
DEGS1	hsa:8560	delta 4-desaturase, sphingolipid 1
DENND5A	hsa:23258	DENN domain containing 5A
DENR	hsa:8562	density regulated re-initiation and release factor
DEPDC5	hsa:9681	DEP domain containing 5, GATOR1 subcomplex subunit
DHCR24	hsa:1718	24-dehydrocholesterol reductase
DHCR7	hsa:1717	7-dehydrocholesterol reductase
DHDDS	hsa:79947	dehydrodolichyl diphosphate synthase subunit
DHFR	hsa:1719	dihydrofolate reductase
DHTKD1	hsa:55526	dehydrogenase E1 and transketolase domain containing 1
DHX30	hsa:22907	DExH-box helicase 30
DIAPH1	hsa:1729	diaphanous related formin 1
DIP2A	hsa:23181	disco interacting protein 2 homolog A
DIP2B	hsa:57609	disco interacting protein 2 homolog B
DIS3L2	hsa:129563	DIS3 like 3'-5' exoribonuclease 2
DISC1	hsa:27185	DISC1 scaffold protein
DKC1	hsa:1736	dyskerin pseudouridine synthase 1
DLAT	hsa:1737	dihydrolipoamide S-acetyltransferase
DLD	hsa:1738	dihydrolipoamide dehydrogenase
DLG1	hsa:1739	discs large MAGUK scaffold protein 1
DLG2	hsa:1740	discs large MAGUK scaffold protein 2
DLG3	hsa:1741	discs large MAGUK scaffold protein 3
DLG4	hsa:1742	discs large MAGUK scaffold protein 4
DLG5	hsa:9231	discs large MAGUK scaffold protein 5
DLGAP1	hsa:9229	DLG associated protein 1
DLL1	hsa:28514	delta like canonical Notch ligand 1
DLX2	hsa:1746	distal-less homeobox 2
DLX3	hsa:1747	distal-less homeobox 3
DLX6	hsa:1750	distal-less homeobox 6
DMD	hsa:1756	dystrophin
DMPK	hsa:1760	DM1 protein kinase
DMWD	hsa:1762	DM1 locus, WD repeat containing
DMXL2	hsa:23312	Dmx like 2
DNAH10	hsa:196385	dynein axonemal heavy chain 10
DNAH17	hsa:8632	dynein axonemal heavy chain 17
DNAH3	hsa:55567	dynein axonemal heavy chain 3
DNAJC12	hsa:56521	DnaJ heat shock protein family (Hsp40) member C12
DNAJC19	hsa:131118	DnaJ heat shock protein family (Hsp40) member C19
DNAJC6	hsa:9829	DnaJ heat shock protein family (Hsp40) member C6
DNER	hsa:92737	delta/notch like EGF repeat containing
DNM1	hsa:1759	dynamin 1
DNM1L	hsa:10059	dynamin 1 like
DNMT3A	hsa:1788	DNA methyltransferase 3 alpha
DNMT3B	hsa:1789	DNA methyltransferase 3 beta
DOCK1	hsa:1793	dedicator of cytokinesis 1
DOCK3	hsa:1795	dedicator of cytokinesis 3
DOCK4	hsa:9732	dedicator of cytokinesis 4
DOCK6	hsa:57572	dedicator of cytokinesis 6
DOCK7	hsa:85440	dedicator of cytokinesis 7
DOCK8	hsa:81704	dedicator of cytokinesis 8
DOLK	hsa:22845	dolichol kinase
DONSON	hsa:29980	DNA replication fork stabilization factor DONSON
DPAGT1	hsa:1798	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
DPF2	hsa:5977	double PHD fingers 2
DPH1	hsa:1801	diphthamide biosynthesis 1
DPM1	hsa:8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic
DPP3	hsa:10072	dipeptidyl peptidase 3
DPP4	hsa:1803	dipeptidyl peptidase 4
DPP8	hsa:54878	dipeptidyl peptidase 8
DPYD	hsa:1806	dihydropyrimidine dehydrogenase
DPYSL2	hsa:1808	dihydropyrimidinase like 2
DRD1	hsa:1812	dopamine receptor D1
DRD2	hsa:1813	dopamine receptor D2
DRD3	hsa:1814	dopamine receptor D3
DSCAM	hsa:1826	DS cell adhesion molecule
DST	hsa:667	dystonin
DUSP15	hsa:128853	dual specificity phosphatase 15
DVL3	hsa:1857	dishevelled segment polarity protein 3
DYNC1H1	hsa:1778	dynein cytoplasmic 1 heavy chain 1
DYNC1I2	hsa:1781	dynein cytoplasmic 1 intermediate chain 2
DYNC1LI1	hsa:51143	dynein cytoplasmic 1 light intermediate chain 1
DYNC2I1	hsa:55112	dynein 2 intermediate chain 1
DYRK1A	hsa:1859	dual specificity tyrosine phosphorylation regulated kinase 1A
EARS2	hsa:124454	glutamyl-tRNA synthetase 2, mitochondrial
EBF3	hsa:253738	EBF transcription factor 3
EBP	hsa:10682	EBP cholestenol delta-isomerase
ECHS1	hsa:1892	enoyl-CoA hydratase, short chain 1
EED	hsa:8726	embryonic ectoderm development
EEF1A2	hsa:1917	eukaryotic translation elongation factor 1 alpha 2
EEF1B2	hsa:1933	eukaryotic translation elongation factor 1 beta 2
EFL1	hsa:79631	elongation factor like GTPase 1
EFR3A	hsa:23167	EFR3 homolog A
EFTUD2	hsa:9343	elongation factor Tu GTP binding domain containing 2
EGLN2	hsa:112398	egl-9 family hypoxia inducible factor 2
EGR3	hsa:1960	early growth response 3
EHMT1	hsa:79813	euchromatic histone lysine methyltransferase 1
EIF2AK2	hsa:5610	eukaryotic translation initiation factor 2 alpha kinase 2
EIF2AK3	hsa:9451	eukaryotic translation initiation factor 2 alpha kinase 3
EIF2B4	hsa:8890	eukaryotic translation initiation factor 2B subunit delta
EIF2B5	hsa:8893	eukaryotic translation initiation factor 2B subunit epsilon
EIF2S3	hsa:1968	eukaryotic translation initiation factor 2 subunit gamma
EIF3F	hsa:8665	eukaryotic translation initiation factor 3 subunit F
EIF3G	hsa:8666	eukaryotic translation initiation factor 3 subunit G
EIF4A3	hsa:9775	eukaryotic translation initiation factor 4A3
EIF4E	hsa:1977	eukaryotic translation initiation factor 4E
EIF4G1	hsa:1981	eukaryotic translation initiation factor 4 gamma 1
ELAC2	hsa:60528	elaC ribonuclease Z 2
ELAVL2	hsa:1993	ELAV like RNA binding protein 2
ELAVL3	hsa:1995	ELAV like RNA binding protein 3
ELF1	hsa:1997	E74 like ETS transcription factor 1
ELOVL2	hsa:54898	ELOVL fatty acid elongase 2
ELOVL4	hsa:6785	ELOVL fatty acid elongase 4
ELP2	hsa:55250	elongator acetyltransferase complex subunit 2
ELP4	hsa:26610	elongator acetyltransferase complex subunit 4
EMC1	hsa:23065	ER membrane protein complex subunit 1
EMG1	hsa:10436	EMG1 N1-specific pseudouridine methyltransferase
EML1	hsa:2009	EMAP like 1
EMX2	hsa:2018	empty spiracles homeobox 2
EN2	hsa:2020	engrailed homeobox 2
ENO3	hsa:2027	enolase 3
ENPP1	hsa:5167	ectonucleotide pyrophosphatase/phosphodiesterase 1
ENTPD1	hsa:953	ectonucleoside triphosphate diphosphohydrolase 1
EP300	hsa:2033	E1A binding protein p300
EP400	hsa:57634	E1A binding protein p400
EPC2	hsa:26122	enhancer of polycomb homolog 2
EPG5	hsa:57724	ectopic P-granules 5 autophagy tethering factor
EPHB2	hsa:2048	EPH receptor B2
EPRS1	hsa:2058	glutamyl-prolyl-tRNA synthetase 1
EPS15L1	hsa:58513	epidermal growth factor receptor pathway substrate 15 like 1
ERBIN	hsa:55914	erbb2 interacting protein
ERCC1	hsa:2067	ERCC excision repair 1, endonuclease non-catalytic subunit
ERCC2	hsa:2068	ERCC excision repair 2, TFIIH core complex helicase subunit
ERCC3	hsa:2071	ERCC excision repair 3, TFIIH core complex helicase subunit
ERCC4	hsa:2072	ERCC excision repair 4, endonuclease catalytic subunit
ERCC5	hsa:2073	ERCC excision repair 5, endonuclease
ERCC6	hsa:2074	ERCC excision repair 6, chromatin remodeling factor
ERCC6L2	hsa:375748	ERCC excision repair 6 like 2
ERCC8	hsa:1161	ERCC excision repair 8, CSA ubiquitin ligase complex subunit
ERF	hsa:2077	ETS2 repressor factor
ERG	hsa:2078	ETS transcription factor ERG
ERLIN2	hsa:11160	ER lipid raft associated 2
ESCO2	hsa:157570	establishment of sister chromatid cohesion N-acetyltransferase 2
ESR2	hsa:2100	estrogen receptor 2
ESRRB	hsa:2103	estrogen related receptor beta
ETFA	hsa:2108	electron transfer flavoprotein subunit alpha
ETHE1	hsa:23474	ETHE1 persulfide dioxygenase
EXOC3	hsa:11336	exocyst complex component 3
EXOC5	hsa:10640	exocyst complex component 5
EXOC6	hsa:54536	exocyst complex component 6
EXOC6B	hsa:23233	exocyst complex component 6B
EXOSC2	hsa:23404	exosome component 2
EXOSC3	hsa:51010	exosome component 3
EXOSC8	hsa:11340	exosome component 8
EXOSC9	hsa:5393	exosome component 9
EXT1	hsa:2131	exostosin glycosyltransferase 1
EXT2	hsa:2132	exostosin glycosyltransferase 2
EXTL3	hsa:2137	exostosin like glycosyltransferase 3
EYA1	hsa:2138	EYA transcriptional coactivator and phosphatase 1
EZH2	hsa:2146	enhancer of zeste 2 polycomb repressive complex 2 subunit
FABP4	hsa:2167	fatty acid binding protein 4
FABP5	hsa:2171	fatty acid binding protein 5
FADS2	hsa:9415	fatty acid desaturase 2
FAH	hsa:2184	fumarylacetoacetate hydrolase
FAM111A	hsa:63901	FAM111 trypsin like peptidase A
FAM126A	hsa:84668	family with sequence similarity 126 member A
FAM149B1	hsa:317662	family with sequence similarity 149 member B1
FAM20C	hsa:56975	FAM20C golgi associated secretory pathway kinase
FAM50A	hsa:9130	family with sequence similarity 50 member A
FAN1	hsa:22909	FANCD2 and FANCI associated nuclease 1
FANCA	hsa:2175	FA complementation group A
FANCD2	hsa:2177	FA complementation group D2
FAR1	hsa:84188	fatty acyl-CoA reductase 1
FARS2	hsa:10667	phenylalanyl-tRNA synthetase 2, mitochondrial
FASN	hsa:2194	fatty acid synthase
FASTKD2	hsa:22868	FAST kinase domains 2
FAT1	hsa:2195	FAT atypical cadherin 1
FAT4	hsa:79633	FAT atypical cadherin 4
FBN1	hsa:2200	fibrillin 1
FBXL3	hsa:26224	F-box and leucine rich repeat protein 3
FBXL4	hsa:26235	F-box and leucine rich repeat protein 4
FBXO11	hsa:80204	F-box protein 11
FBXO33	hsa:254170	F-box protein 33
FBXO40	hsa:51725	F-box protein 40
FBXW11	hsa:23291	F-box and WD repeat domain containing 11
FCRL6	hsa:343413	Fc receptor like 6
FCSK	hsa:197258	fucose kinase
FDFT1	hsa:2222	farnesyl-diphosphate farnesyltransferase 1
FEM1B	hsa:10116	fem-1 homolog B
FEV	hsa:54738	FEV transcription factor, ETS family member
FEZF2	hsa:55079	FEZ family zinc finger 2
FGA	hsa:2243	fibrinogen alpha chain
FGD1	hsa:2245	FYVE, RhoGEF and PH domain containing 1
FGF12	hsa:2257	fibroblast growth factor 12
FGF13	hsa:2258	fibroblast growth factor 13
FGF14	hsa:2259	fibroblast growth factor 14
FGFR1	hsa:2260	fibroblast growth factor receptor 1
FGFR2	hsa:2263	fibroblast growth factor receptor 2
FGFR3	hsa:2261	fibroblast growth factor receptor 3
FH	hsa:2271	fumarate hydratase
FHIT	hsa:2272	fragile histidine triad diadenosine triphosphatase
FIG4	hsa:9896	FIG4 phosphoinositide 5-phosphatase
FKRP	hsa:79147	fukutin related protein
FKTN	hsa:2218	fukutin
FLAD1	hsa:80308	flavin adenine dinucleotide synthetase 1
FLG	hsa:2312	filaggrin
FLNA	hsa:2316	filamin A
FLNC	hsa:2318	filamin C
FLVCR1	hsa:28982	FLVCR heme transporter 1
FLVCR2	hsa:55640	FLVCR heme transporter 2
FMN2	hsa:56776	formin 2
FMR1	hsa:2332	FMRP translational regulator 1
FOLR1	hsa:2348	folate receptor alpha
FOSL2	hsa:2355	FOS like 2, AP-1 transcription factor subunit
FOXG1	hsa:2290	forkhead box G1
FOXP1	hsa:27086	forkhead box P1
FOXP2	hsa:93986	forkhead box P2
FOXP3	hsa:50943	forkhead box P3
FOXP4	hsa:116113	forkhead box P4
FOXRED1	hsa:55572	FAD dependent oxidoreductase domain containing 1
FRA10AC1	hsa:118924	FRA10A associated CGG repeat 1
FRAS1	hsa:80144	Fraser extracellular matrix complex subunit 1
FREM1	hsa:158326	FRAS1 related extracellular matrix 1
FREM2	hsa:341640	FRAS1 related extracellular matrix 2
FRG1	hsa:2483	FSHD region gene 1
FRK	hsa:2444	fyn related Src family tyrosine kinase
FRMD4A	hsa:55691	FERM domain containing 4A
FRMD5	hsa:84978	FERM domain containing 5
FRMD7	hsa:90167	FERM domain containing 7
FRMPD4	hsa:9758	FERM and PDZ domain containing 4
FRRS1L	hsa:23732	ferric chelate reductase 1 like
FTCD	hsa:10841	formimidoyltransferase cyclodeaminase
FTO	hsa:79068	FTO alpha-ketoglutarate dependent dioxygenase
FTSJ1	hsa:24140	FtsJ RNA 2'-O-methyltransferase 1
FUCA1	hsa:2517	alpha-L-fucosidase 1
FUT8	hsa:2530	fucosyltransferase 8
FXN	hsa:2395	frataxin
FXR1	hsa:8087	FMR1 autosomal homolog 1
FZR1	hsa:51343	fizzy and cell division cycle 20 related 1
GAB2	hsa:9846	GRB2 associated binding protein 2
GABBR2	hsa:9568	gamma-aminobutyric acid type B receptor subunit 2
GABRA1	hsa:2554	gamma-aminobutyric acid type A receptor subunit alpha1
GABRA2	hsa:2555	gamma-aminobutyric acid type A receptor subunit alpha2
GABRA3	hsa:2556	gamma-aminobutyric acid type A receptor subunit alpha3
GABRA4	hsa:2557	gamma-aminobutyric acid type A receptor subunit alpha4
GABRA5	hsa:2558	gamma-aminobutyric acid type A receptor subunit alpha5
GABRB1	hsa:2560	gamma-aminobutyric acid type A receptor subunit beta1
GABRB2	hsa:2561	gamma-aminobutyric acid type A receptor subunit beta2
GABRB3	hsa:2562	gamma-aminobutyric acid type A receptor subunit beta3
GABRG2	hsa:2566	gamma-aminobutyric acid type A receptor subunit gamma2
GABRG3	hsa:2567	gamma-aminobutyric acid type A receptor subunit gamma3
GAD1	hsa:2571	glutamate decarboxylase 1
GALC	hsa:2581	galactosylceramidase
GALE	hsa:2582	UDP-galactose-4-epimerase
GALNS	hsa:2588	galactosamine (N-acetyl)-6-sulfatase
GALNT10	hsa:55568	polypeptide N-acetylgalactosaminyltransferase 10
GALNT13	hsa:114805	polypeptide N-acetylgalactosaminyltransferase 13
GALNT14	hsa:79623	polypeptide N-acetylgalactosaminyltransferase 14
GALNT2	hsa:2590	polypeptide N-acetylgalactosaminyltransferase 2
GALNT8	hsa:26290	polypeptide N-acetylgalactosaminyltransferase 8
GALR3	hsa:8484	galanin receptor 3
GALT	hsa:2592	galactose-1-phosphate uridylyltransferase
GAMT	hsa:2593	guanidinoacetate N-methyltransferase
GAN	hsa:8139	gigaxonin
GAS2	hsa:2620	growth arrest specific 2
GATA6	hsa:2627	GATA binding protein 6
GATAD2B	hsa:57459	GATA zinc finger domain containing 2B
GATM	hsa:2628	glycine amidinotransferase
GBA2	hsa:57704	glucosylceramidase beta 2
GBE1	hsa:2632	1,4-alpha-glucan branching enzyme 1
GCDH	hsa:2639	glutaryl-CoA dehydrogenase
GCH1	hsa:2643	GTP cyclohydrolase 1
GCSH	hsa:2653	glycine cleavage system protein H
GDA	hsa:9615	guanine deaminase
GDF1	hsa:2657	growth differentiation factor 1
GDI1	hsa:2664	GDP dissociation inhibitor 1
GEMIN4	hsa:50628	gem nuclear organelle associated protein 4
GFAP	hsa:2670	glial fibrillary acidic protein
GFER	hsa:2671	growth factor, augmenter of liver regeneration
GFM1	hsa:85476	G elongation factor mitochondrial 1
GFM2	hsa:84340	GTP dependent ribosome recycling factor mitochondrial 2
GIGYF1	hsa:64599	GRB10 interacting GYF protein 1
GIGYF2	hsa:26058	GRB10 interacting GYF protein 2
GINS2	hsa:51659	GINS complex subunit 2
GJB2	hsa:2706	gap junction protein beta 2
GJC2	hsa:57165	gap junction protein gamma 2
GK	hsa:2710	glycerol kinase
GLB1	hsa:2720	galactosidase beta 1
GLDC	hsa:2731	glycine decarboxylase
GLG1	hsa:2734	golgi glycoprotein 1
GLI2	hsa:2736	GLI family zinc finger 2
GLI3	hsa:2737	GLI family zinc finger 3
GLIS1	hsa:148979	GLIS family zinc finger 1
GLIS3	hsa:169792	GLIS family zinc finger 3
GLO1	hsa:2739	glyoxalase I
GLRA2	hsa:2742	glycine receptor alpha 2
GLS	hsa:2744	glutaminase
GLUL	hsa:2752	glutamate-ammonia ligase
GM2A	hsa:2760	GM2 ganglioside activator
GMDS	hsa:2762	GDP-mannose 4,6-dehydratase
GMNN	hsa:51053	geminin DNA replication inhibitor
GMPPA	hsa:29926	GDP-mannose pyrophosphorylase A
GMPPB	hsa:29925	GDP-mannose pyrophosphorylase B
GMPS	hsa:8833	guanine monophosphate synthase
GNAI1	hsa:2770	G protein subunit alpha i1
GNAO1	hsa:2775	G protein subunit alpha o1
GNAQ	hsa:2776	G protein subunit alpha q
GNAS	hsa:2778	GNAS complex locus
GNB1	hsa:2782	G protein subunit beta 1
GNB1L	hsa:54584	G protein subunit beta 1 like
GNB5	hsa:10681	G protein subunit beta 5
GNG13	hsa:51764	G protein subunit gamma 13
GNPAT	hsa:8443	glyceronephosphate O-acyltransferase
GNPTAB	hsa:79158	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
GNPTG	hsa:84572	N-acetylglucosamine-1-phosphate transferase subunit gamma
GNS	hsa:2799	glucosamine (N-acetyl)-6-sulfatase
GORAB	hsa:92344	golgin, RAB6 interacting
GOT2	hsa:2806	glutamic-oxaloacetic transaminase 2
GPAA1	hsa:8733	glycosylphosphatidylinositol anchor attachment 1
GPC3	hsa:2719	glypican 3
GPC4	hsa:2239	glypican 4
GPC6	hsa:10082	glypican 6
GPD2	hsa:2820	glycerol-3-phosphate dehydrogenase 2
GPHN	hsa:10243	gephyrin
GPR37	hsa:2861	G protein-coupled receptor 37
GPR85	hsa:54329	G protein-coupled receptor 85
GPSM2	hsa:29899	G protein signaling modulator 2
GPT2	hsa:84706	glutamic--pyruvic transaminase 2
GPX1	hsa:2876	glutathione peroxidase 1
GRIA1	hsa:2890	glutamate ionotropic receptor AMPA type subunit 1
GRIA2	hsa:2891	glutamate ionotropic receptor AMPA type subunit 2
GRIA3	hsa:2892	glutamate ionotropic receptor AMPA type subunit 3
GRIA4	hsa:2893	glutamate ionotropic receptor AMPA type subunit 4
GRID1	hsa:2894	glutamate ionotropic receptor delta type subunit 1
GRID2	hsa:2895	glutamate ionotropic receptor delta type subunit 2
GRIK2	hsa:2898	glutamate ionotropic receptor kainate type subunit 2
GRIK3	hsa:2899	glutamate ionotropic receptor kainate type subunit 3
GRIK4	hsa:2900	glutamate ionotropic receptor kainate type subunit 4
GRIK5	hsa:2901	glutamate ionotropic receptor kainate type subunit 5
GRIN1	hsa:2902	glutamate ionotropic receptor NMDA type subunit 1
GRIN2A	hsa:2903	glutamate ionotropic receptor NMDA type subunit 2A
GRIN2B	hsa:2904	glutamate ionotropic receptor NMDA type subunit 2B
GRIN2D	hsa:2906	glutamate ionotropic receptor NMDA type subunit 2D
GRIP1	hsa:23426	glutamate receptor interacting protein 1
GRM1	hsa:2911	glutamate metabotropic receptor 1
GRM5	hsa:2915	glutamate metabotropic receptor 5
GRM7	hsa:2917	glutamate metabotropic receptor 7
GSK3A	hsa:2931	glycogen synthase kinase 3 alpha
GSPT2	hsa:23708	G1 to S phase transition 2
GSS	hsa:2937	glutathione synthetase
GSTM1	hsa:2944	glutathione S-transferase mu 1
GSX2	hsa:170825	GS homeobox 2
GTF2E2	hsa:2961	general transcription factor IIE subunit 2
GTF2H5	hsa:404672	general transcription factor IIH subunit 5
GTF2I	hsa:2969	general transcription factor IIi
GTPBP2	hsa:54676	GTP binding protein 2
GTPBP3	hsa:84705	GTP binding protein 3, mitochondrial
GUCY1A2	hsa:2977	guanylate cyclase 1 soluble subunit alpha 2
GUSB	hsa:2990	glucuronidase beta
H1-4	hsa:3008	H1.4 linker histone, cluster member
H2BC11	hsa:8970	H2B clustered histone 11
H3-3A	hsa:3020	H3.3 histone A
H4C3	hsa:8364	H4 clustered histone 3
HACE1	hsa:57531	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
HADH	hsa:3033	hydroxyacyl-CoA dehydrogenase
HADHA	hsa:3030	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
HARS1	hsa:3035	histidyl-tRNA synthetase 1
HAX1	hsa:10456	HCLS1 associated protein X-1
HCCS	hsa:3052	holocytochrome c synthase
HCFC1	hsa:3054	host cell factor C1
HCN1	hsa:348980	hyperpolarization activated cyclic nucleotide gated potassium channel 1
HDAC4	hsa:9759	histone deacetylase 4
HDAC8	hsa:55869	histone deacetylase 8
HDAC9	hsa:9734	histone deacetylase 9
HECTD2	hsa:143279	HECT domain E3 ubiquitin protein ligase 2
HECTD4	hsa:283450	HECT domain E3 ubiquitin protein ligase 4
HECW2	hsa:57520	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
HERC1	hsa:8925	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
HERC2	hsa:8924	HECT and RLD domain containing E3 ubiquitin protein ligase 2
HESX1	hsa:8820	HESX homeobox 1
HEXA	hsa:3073	hexosaminidase subunit alpha
HEXB	hsa:3074	hexosaminidase subunit beta
HEY1	hsa:23462	hes related family bHLH transcription factor with YRPW motif 1
HGSNAT	hsa:138050	heparan-alpha-glucosaminide N-acetyltransferase
HIBCH	hsa:26275	3-hydroxyisobutyryl-CoA hydrolase
HIKESHI	hsa:51501	heat shock protein nuclear import factor hikeshi
HIVEP2	hsa:3097	HIVEP zinc finger 2
HIVEP3	hsa:59269	HIVEP zinc finger 3
HK1	hsa:3098	hexokinase 1
HLA-A	hsa:3105	major histocompatibility complex, class I, A
HLA-B	hsa:3106	major histocompatibility complex, class I, B
HLA-DPB1	hsa:3115	major histocompatibility complex, class II, DP beta 1
HLA-DRB1	hsa:3123	major histocompatibility complex, class II, DR beta 1
HLA-G	hsa:3135	major histocompatibility complex, class I, G
HLCS	hsa:3141	holocarboxylase synthetase
HMGCL	hsa:3155	3-hydroxy-3-methylglutaryl-CoA lyase
HMGN1	hsa:3150	high mobility group nucleosome binding domain 1
HNMT	hsa:3176	histamine N-methyltransferase
HNRNPD	hsa:3184	heterogeneous nuclear ribonucleoprotein D
HNRNPF	hsa:3185	heterogeneous nuclear ribonucleoprotein F
HNRNPH1	hsa:3187	heterogeneous nuclear ribonucleoprotein H1
HNRNPH2	hsa:3188	heterogeneous nuclear ribonucleoprotein H2
HNRNPK	hsa:3190	heterogeneous nuclear ribonucleoprotein K
HNRNPR	hsa:10236	heterogeneous nuclear ribonucleoprotein R
HNRNPU	hsa:3192	heterogeneous nuclear ribonucleoprotein U
HOMER1	hsa:9456	homer scaffold protein 1
HOXA1	hsa:3198	homeobox A1
HPD	hsa:3242	4-hydroxyphenylpyruvate dioxygenase
HPN	hsa:3249	hepsin
HPRT1	hsa:3251	hypoxanthine phosphoribosyltransferase 1
HRAS	hsa:3265	HRas proto-oncogene, GTPase
HS2ST1	hsa:9653	heparan sulfate 2-O-sulfotransferase 1
HS3ST5	hsa:222537	heparan sulfate-glucosamine 3-sulfotransferase 5
HSD11B1	hsa:3290	hydroxysteroid 11-beta dehydrogenase 1
HSD17B10	hsa:3028	hydroxysteroid 17-beta dehydrogenase 10
HSD17B4	hsa:3295	hydroxysteroid 17-beta dehydrogenase 4
HSPD1	hsa:3329	heat shock protein family D (Hsp60) member 1
HSPG2	hsa:3339	heparan sulfate proteoglycan 2
HTR1B	hsa:3351	5-hydroxytryptamine receptor 1B
HTR3A	hsa:3359	5-hydroxytryptamine receptor 3A
HTR3C	hsa:170572	5-hydroxytryptamine receptor 3C
HTRA2	hsa:27429	HtrA serine peptidase 2
HTT	hsa:3064	huntingtin
HUNK	hsa:30811	hormonally up-regulated Neu-associated kinase
HUWE1	hsa:10075	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1
HYDIN	hsa:54768	HYDIN axonemal central pair apparatus protein
HYLS1	hsa:219844	HYLS1 centriolar and ciliogenesis associated
IARS1	hsa:3376	isoleucyl-tRNA synthetase 1
ICA1	hsa:3382	islet cell autoantigen 1
IDH2	hsa:3418	isocitrate dehydrogenase (NADP(+)) 2
IDS	hsa:3423	iduronate 2-sulfatase
IDUA	hsa:3425	alpha-L-iduronidase
IER3IP1	hsa:51124	immediate early response 3 interacting protein 1
IFIH1	hsa:64135	interferon induced with helicase C domain 1
IFT172	hsa:26160	intraflagellar transport 172
IGF1	hsa:3479	insulin like growth factor 1
IGF1R	hsa:3480	insulin like growth factor 1 receptor
IGHMBP2	hsa:3508	immunoglobulin mu DNA binding protein 2
IKBKG	hsa:8517	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
IL1R2	hsa:7850	interleukin 1 receptor type 2
IL1RAPL1	hsa:11141	interleukin 1 receptor accessory protein like 1
IL1RAPL2	hsa:26280	interleukin 1 receptor accessory protein like 2
ILF2	hsa:3608	interleukin enhancer binding factor 2
IMMP2L	hsa:83943	inner mitochondrial membrane peptidase subunit 2
IMPA1	hsa:3612	inositol monophosphatase 1
IMPDH2	hsa:3615	inosine monophosphate dehydrogenase 2
INO80D	hsa:54891	INO80 complex subunit D
INPP1	hsa:3628	inositol polyphosphate-1-phosphatase
INPP4A	hsa:3631	inositol polyphosphate-4-phosphatase type I A
INPP5E	hsa:56623	inositol polyphosphate-5-phosphatase E
INPP5K	hsa:51763	inositol polyphosphate-5-phosphatase K
INTS1	hsa:26173	integrator complex subunit 1
INTS10	hsa:55174	integrator complex subunit 10
INTS2	hsa:57508	integrator complex subunit 2
INTS6	hsa:26512	integrator complex subunit 6
INTS8	hsa:55656	integrator complex subunit 8
IPO13	hsa:9670	importin 13
IPO7	hsa:10527	importin 7
IPP	hsa:3652	intracisternal A particle-promoted polypeptide
IQGAP3	hsa:128239	IQ motif containing GTPase activating protein 3
IQSEC1	hsa:9922	IQ motif and Sec7 domain ArfGEF 1
IQSEC2	hsa:23096	IQ motif and Sec7 domain ArfGEF 2
IQSEC3	hsa:440073	IQ motif and Sec7 domain ArfGEF 3
IRX5	hsa:10265	iroquois homeobox 5
ISCA2	hsa:122961	iron-sulfur cluster assembly 2
ITCH	hsa:83737	itchy E3 ubiquitin protein ligase
ITGAV	hsa:3685	integrin subunit alpha V
ITGB3	hsa:3690	integrin subunit beta 3
ITPA	hsa:3704	inosine triphosphatase
ITPR1	hsa:3708	inositol 1,4,5-trisphosphate receptor type 1
ITSN1	hsa:6453	intersectin 1
IVD	hsa:3712	isovaleryl-CoA dehydrogenase
JAM2	hsa:58494	junctional adhesion molecule 2
JAM3	hsa:83700	junctional adhesion molecule 3
JARID2	hsa:3720	jumonji and AT-rich interaction domain containing 2
JMJD1C	hsa:221037	jumonji domain containing 1C
JMY	hsa:133746	junction mediating and regulatory protein, p53 cofactor
KALRN	hsa:8997	kalirin RhoGEF kinase
KANK1	hsa:23189	KN motif and ankyrin repeat domains 1
KANSL1	hsa:284058	KAT8 regulatory NSL complex subunit 1
KANSL3	hsa:55683	KAT8 regulatory NSL complex subunit 3
KARS1	hsa:3735	lysyl-tRNA synthetase 1
KAT2B	hsa:8850	lysine acetyltransferase 2B
KAT5	hsa:10524	lysine acetyltransferase 5
KAT6A	hsa:7994	lysine acetyltransferase 6A
KAT6B	hsa:23522	lysine acetyltransferase 6B
KAT8	hsa:84148	lysine acetyltransferase 8
KATNAL1	hsa:84056	katanin catalytic subunit A1 like 1
KATNAL2	hsa:83473	katanin catalytic subunit A1 like 2
KATNB1	hsa:10300	katanin regulatory subunit B1
KATNIP	hsa:23247	katanin interacting protein
