AARS1	hsa:16	alanyl-tRNA synthetase 1
GMDS	hsa:2762	GDP-mannose 4,6-dehydratase
GMPPA	hsa:29926	GDP-mannose pyrophosphorylase A
GMPPB	hsa:29925	GDP-mannose pyrophosphorylase B
GMPS	hsa:8833	guanine monophosphate synthase
GNAI1	hsa:2770	G protein subunit alpha i1
GNAO1	hsa:2775	G protein subunit alpha o1
GNAQ	hsa:2776	G protein subunit alpha q
GNAS	hsa:2778	GNAS complex locus
GNB1	hsa:2782	G protein subunit beta 1
GNB5	hsa:10681	G protein subunit beta 5
GNG13	hsa:51764	G protein subunit gamma 13
GNPAT	hsa:8443	glyceronephosphate O-acyltransferase
GNPTAB	hsa:79158	N-acetylglucosamine-1-phosphate transferase subunits alpha and beta
GNPTG	hsa:84572	N-acetylglucosamine-1-phosphate transferase subunit gamma
GNS	hsa:2799	glucosamine (N-acetyl)-6-sulfatase
GORAB	hsa:92344	golgin, RAB6 interacting
GOT2	hsa:2806	glutamic-oxaloacetic transaminase 2
GPAA1	hsa:8733	glycosylphosphatidylinositol anchor attachment 1
GPC3	hsa:2719	glypican 3
GPC4	hsa:2239	glypican 4
GPD2	hsa:2820	glycerol-3-phosphate dehydrogenase 2
GPHN	hsa:10243	gephyrin
GPR37	hsa:2861	G protein-coupled receptor 37
GPT2	hsa:84706	glutamic--pyruvic transaminase 2
GPX1	hsa:2876	glutathione peroxidase 1
GRIA1	hsa:2890	glutamate ionotropic receptor AMPA type subunit 1
GRIA2	hsa:2891	glutamate ionotropic receptor AMPA type subunit 2
GRIA3	hsa:2892	glutamate ionotropic receptor AMPA type subunit 3
GRIA4	hsa:2893	glutamate ionotropic receptor AMPA type subunit 4
GRID1	hsa:2894	glutamate ionotropic receptor delta type subunit 1
GRID2	hsa:2895	glutamate ionotropic receptor delta type subunit 2
GRIK2	hsa:2898	glutamate ionotropic receptor kainate type subunit 2
GRIK3	hsa:2899	glutamate ionotropic receptor kainate type subunit 3
GRIK4	hsa:2900	glutamate ionotropic receptor kainate type subunit 4
GRIK5	hsa:2901	glutamate ionotropic receptor kainate type subunit 5
GRIN1	hsa:2902	glutamate ionotropic receptor NMDA type subunit 1
GRIN2A	hsa:2903	glutamate ionotropic receptor NMDA type subunit 2A
GRIN2B	hsa:2904	glutamate ionotropic receptor NMDA type subunit 2B
GRIN2D	hsa:2906	glutamate ionotropic receptor NMDA type subunit 2D
GRM1	hsa:2911	glutamate metabotropic receptor 1
GRM5	hsa:2915	glutamate metabotropic receptor 5
GRM7	hsa:2917	glutamate metabotropic receptor 7
GSK3A	hsa:2931	glycogen synthase kinase 3 alpha
GSPT2	hsa:23708	G1 to S phase transition 2
GSS	hsa:2937	glutathione synthetase
GSTM1	hsa:2944	glutathione S-transferase mu 1
GTF2E2	hsa:2961	general transcription factor IIE subunit 2
GTF2H5	hsa:404672	general transcription factor IIH subunit 5
GTF2I	hsa:2969	general transcription factor IIi
GUCY1A2	hsa:2977	guanylate cyclase 1 soluble subunit alpha 2
GUSB	hsa:2990	glucuronidase beta
H2BC11	hsa:8970	H2B clustered histone 11
H3-3A	hsa:3020	H3.3 histone A
H4C3	hsa:8364	H4 clustered histone 3
HADH	hsa:3033	hydroxyacyl-CoA dehydrogenase
HADHA	hsa:3030	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
HARS1	hsa:3035	histidyl-tRNA synthetase 1
HCCS	hsa:3052	holocytochrome c synthase
HCFC1	hsa:3054	host cell factor C1
HCN1	hsa:348980	hyperpolarization activated cyclic nucleotide gated potassium channel 1
HDAC4	hsa:9759	histone deacetylase 4
HDAC8	hsa:55869	histone deacetylase 8
HDAC9	hsa:9734	histone deacetylase 9
HERC1	hsa:8925	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
HERC2	hsa:8924	HECT and RLD domain containing E3 ubiquitin protein ligase 2
HESX1	hsa:8820	HESX homeobox 1
HEXA	hsa:3073	hexosaminidase subunit alpha
HEXB	hsa:3074	hexosaminidase subunit beta
HEY1	hsa:23462	hes related family bHLH transcription factor with YRPW motif 1
HGSNAT	hsa:138050	heparan-alpha-glucosaminide N-acetyltransferase
HIBCH	hsa:26275	3-hydroxyisobutyryl-CoA hydrolase
HK1	hsa:3098	hexokinase 1
HLA-A	hsa:3105	major histocompatibility complex, class I, A
HLA-B	hsa:3106	major histocompatibility complex, class I, B
HLA-DPB1	hsa:3115	major histocompatibility complex, class II, DP beta 1
HLA-DRB1	hsa:3123	major histocompatibility complex, class II, DR beta 1
HLA-G	hsa:3135	major histocompatibility complex, class I, G
HLCS	hsa:3141	holocarboxylase synthetase
HMGCL	hsa:3155	3-hydroxy-3-methylglutaryl-CoA lyase
HNMT	hsa:3176	histamine N-methyltransferase
HNRNPK	hsa:3190	heterogeneous nuclear ribonucleoprotein K
HNRNPU	hsa:3192	heterogeneous nuclear ribonucleoprotein U
HOMER1	hsa:9456	homer scaffold protein 1
HOXA1	hsa:3198	homeobox A1
HPD	hsa:3242	4-hydroxyphenylpyruvate dioxygenase
HPN	hsa:3249	hepsin
HPRT1	hsa:3251	hypoxanthine phosphoribosyltransferase 1
HRAS	hsa:3265	HRas proto-oncogene, GTPase
HS2ST1	hsa:9653	heparan sulfate 2-O-sulfotransferase 1
HS3ST5	hsa:222537	heparan sulfate-glucosamine 3-sulfotransferase 5
HSD11B1	hsa:3290	hydroxysteroid 11-beta dehydrogenase 1
HSD17B10	hsa:3028	hydroxysteroid 17-beta dehydrogenase 10
HSD17B4	hsa:3295	hydroxysteroid 17-beta dehydrogenase 4
HSPD1	hsa:3329	heat shock protein family D (Hsp60) member 1
HSPG2	hsa:3339	heparan sulfate proteoglycan 2
HTR1B	hsa:3351	5-hydroxytryptamine receptor 1B
HTR3A	hsa:3359	5-hydroxytryptamine receptor 3A
HTR3C	hsa:170572	5-hydroxytryptamine receptor 3C
HTRA2	hsa:27429	HtrA serine peptidase 2
HTT	hsa:3064	huntingtin
HUWE1	hsa:10075	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1
IARS1	hsa:3376	isoleucyl-tRNA synthetase 1
ICA1	hsa:3382	islet cell autoantigen 1
IDH2	hsa:3418	isocitrate dehydrogenase (NADP(+)) 2
IDS	hsa:3423	iduronate 2-sulfatase
IDUA	hsa:3425	alpha-L-iduronidase
IFIH1	hsa:64135	interferon induced with helicase C domain 1
IGF1	hsa:3479	insulin like growth factor 1
IGF1R	hsa:3480	insulin like growth factor 1 receptor
IKBKG	hsa:8517	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
IL1R2	hsa:7850	interleukin 1 receptor type 2
IMMP2L	hsa:83943	inner mitochondrial membrane peptidase subunit 2
IMPA1	hsa:3612	inositol monophosphatase 1
IMPDH2	hsa:3615	inosine monophosphate dehydrogenase 2
INPP1	hsa:3628	inositol polyphosphate-1-phosphatase
INPP4A	hsa:3631	inositol polyphosphate-4-phosphatase type I A
INPP5E	hsa:56623	inositol polyphosphate-5-phosphatase E
INPP5K	hsa:51763	inositol polyphosphate-5-phosphatase K
IPO13	hsa:9670	importin 13
IPO7	hsa:10527	importin 7
IQGAP3	hsa:128239	IQ motif containing GTPase activating protein 3
IQSEC1	hsa:9922	IQ motif and Sec7 domain ArfGEF 1
IQSEC2	hsa:23096	IQ motif and Sec7 domain ArfGEF 2
IQSEC3	hsa:440073	IQ motif and Sec7 domain ArfGEF 3
ITCH	hsa:83737	itchy E3 ubiquitin protein ligase
ITGAV	hsa:3685	integrin subunit alpha V
ITGB3	hsa:3690	integrin subunit beta 3
ITPA	hsa:3704	inosine triphosphatase
ITPR1	hsa:3708	inositol 1,4,5-trisphosphate receptor type 1
IVD	hsa:3712	isovaleryl-CoA dehydrogenase
JAM2	hsa:58494	junctional adhesion molecule 2
JAM3	hsa:83700	junctional adhesion molecule 3
JARID2	hsa:3720	jumonji and AT-rich interaction domain containing 2
JMJD1C	hsa:221037	jumonji domain containing 1C
KARS1	hsa:3735	lysyl-tRNA synthetase 1
KAT2B	hsa:8850	lysine acetyltransferase 2B
KAT5	hsa:10524	lysine acetyltransferase 5
KAT6A	hsa:7994	lysine acetyltransferase 6A
KCNA4	hsa:3739	potassium voltage-gated channel subfamily A member 4
KCND2	hsa:3751	potassium voltage-gated channel subfamily D member 2
KCND3	hsa:3752	potassium voltage-gated channel subfamily D member 3
KCNJ10	hsa:3766	potassium inwardly rectifying channel subfamily J member 10
KCNJ11	hsa:3767	potassium inwardly rectifying channel subfamily J member 11
KCNJ12	hsa:3768	potassium inwardly rectifying channel subfamily J member 12
KCNJ15	hsa:3772	potassium inwardly rectifying channel subfamily J member 15
KCNJ6	hsa:3763	potassium inwardly rectifying channel subfamily J member 6
KCNK9	hsa:51305	potassium two pore domain channel subfamily K member 9
KCNMA1	hsa:3778	potassium calcium-activated channel subfamily M alpha 1
KCNN3	hsa:3782	potassium calcium-activated channel subfamily N member 3
KCNQ2	hsa:3785	potassium voltage-gated channel subfamily Q member 2
KCNQ3	hsa:3786	potassium voltage-gated channel subfamily Q member 3
KCNQ4	hsa:9132	potassium voltage-gated channel subfamily Q member 4
KCNQ5	hsa:56479	potassium voltage-gated channel subfamily Q member 5
KDM1A	hsa:23028	lysine demethylase 1A
KDM3B	hsa:51780	lysine demethylase 3B
KDM6A	hsa:7403	lysine demethylase 6A
KIDINS220	hsa:57498	kinase D interacting substrate 220
KIF5A	hsa:3798	kinesin family member 5A
KIF5C	hsa:3800	kinesin family member 5C
KIF7	hsa:374654	kinesin family member 7
KMT2A	hsa:4297	lysine methyltransferase 2A
KMT2B	hsa:9757	lysine methyltransferase 2B
KMT2C	hsa:58508	lysine methyltransferase 2C
KMT2D	hsa:8085	lysine methyltransferase 2D
KMT2E	hsa:55904	lysine methyltransferase 2E (inactive)
KMT5B	hsa:51111	lysine methyltransferase 5B
KNG1	hsa:3827	kininogen 1
KPNA7	hsa:402569	karyopherin subunit alpha 7
KRAS	hsa:3845	KRAS proto-oncogene, GTPase
KRT24	hsa:192666	keratin 24
KRT26	hsa:353288	keratin 26
L1CAM	hsa:3897	L1 cell adhesion molecule
L2HGDH	hsa:79944	L-2-hydroxyglutarate dehydrogenase
LAMA1	hsa:284217	laminin subunit alpha 1
LAMA2	hsa:3908	laminin subunit alpha 2
LAMB1	hsa:3912	laminin subunit beta 1
LAMC3	hsa:10319	laminin subunit gamma 3
LAMP2	hsa:3920	lysosomal associated membrane protein 2
LARGE1	hsa:9215	LARGE xylosyl- and glucuronyltransferase 1
LARS2	hsa:23395	leucyl-tRNA synthetase 2, mitochondrial
LBR	hsa:3930	lamin B receptor
LDB1	hsa:8861	LIM domain binding 1
LDLR	hsa:3949	low density lipoprotein receptor
LEP	hsa:3952	leptin
LIAS	hsa:11019	lipoic acid synthetase
LIG4	hsa:3981	DNA ligase 4
LILRB2	hsa:10288	leukocyte immunoglobulin like receptor B2
LIPT2	hsa:387787	lipoyl(octanoyl) transferase 2
LMBRD1	hsa:55788	LMBR1 domain containing 1
LMNB1	hsa:4001	lamin B1
LMNB2	hsa:84823	lamin B2
LRP1	hsa:4035	LDL receptor related protein 1
LRP2	hsa:4036	LDL receptor related protein 2
LRRC4	hsa:64101	leucine rich repeat containing 4
LRRC4C	hsa:57689	leucine rich repeat containing 4C
LSS	hsa:4047	lanosterol synthase
MAF	hsa:4094	MAF bZIP transcription factor
MAG	hsa:4099	myelin associated glycoprotein
MAML3	hsa:55534	mastermind like transcriptional coactivator 3
MAN1B1	hsa:11253	mannosidase alpha class 1B member 1
MAN2B1	hsa:4125	mannosidase alpha class 2B member 1
MANBA	hsa:4126	mannosidase beta
MAOA	hsa:4128	monoamine oxidase A
MAOB	hsa:4129	monoamine oxidase B
MAP1A	hsa:4130	microtubule associated protein 1A
MAP1B	hsa:4131	microtubule associated protein 1B
MAP2K1	hsa:5604	mitogen-activated protein kinase kinase 1
MAP2K2	hsa:5605	mitogen-activated protein kinase kinase 2
MAP3K10	hsa:4294	mitogen-activated protein kinase kinase kinase 10
MAP3K5	hsa:4217	mitogen-activated protein kinase kinase kinase 5
MAP3K7	hsa:6885	mitogen-activated protein kinase kinase kinase 7
MAPK1	hsa:5594	mitogen-activated protein kinase 1
MAPK3	hsa:5595	mitogen-activated protein kinase 3
MAPK8IP3	hsa:23162	mitogen-activated protein kinase 8 interacting protein 3
MAPKAP1	hsa:79109	MAPK associated protein 1
MAPT	hsa:4137	microtubule associated protein tau
MASP1	hsa:5648	MBL associated serine protease 1
MAT1A	hsa:4143	methionine adenosyltransferase 1A
MBOAT7	hsa:79143	membrane bound O-acyltransferase domain containing 7
MBTPS2	hsa:51360	membrane bound transcription factor peptidase, site 2
MCCC1	hsa:56922	methylcrotonyl-CoA carboxylase subunit 1
MCCC2	hsa:64087	methylcrotonyl-CoA carboxylase subunit 2
MCM4	hsa:4173	minichromosome maintenance complex component 4
MCM6	hsa:4175	minichromosome maintenance complex component 6
MCOLN1	hsa:57192	mucolipin TRP cation channel 1
MDH2	hsa:4191	malate dehydrogenase 2
MED12	hsa:9968	mediator complex subunit 12
MED12L	hsa:116931	mediator complex subunit 12L
MED13	hsa:9969	mediator complex subunit 13
MED13L	hsa:23389	mediator complex subunit 13L
MED17	hsa:9440	mediator complex subunit 17
MEF2C	hsa:4208	myocyte enhancer factor 2C
MEGF8	hsa:1954	multiple EGF like domains 8
MET	hsa:4233	MET proto-oncogene, receptor tyrosine kinase
MFSD8	hsa:256471	major facilitator superfamily domain containing 8
MGAT2	hsa:4247	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
MIB1	hsa:57534	MIB E3 ubiquitin protein ligase 1
MID1	hsa:4281	midline 1
MINPP1	hsa:9562	multiple inositol-polyphosphate phosphatase 1
MIR137	hsa:406928	microRNA 137
MLYCD	hsa:23417	malonyl-CoA decarboxylase
MMAB	hsa:326625	metabolism of cobalamin associated B
MMACHC	hsa:25974	metabolism of cobalamin associated C
MMP14	hsa:4323	matrix metallopeptidase 14
MMUT	hsa:4594	methylmalonyl-CoA mutase
MOCS1	hsa:4337	molybdenum cofactor synthesis 1
MOCS2	hsa:4338	molybdenum cofactor synthesis 2
MOGS	hsa:7841	mannosyl-oligosaccharide glucosidase
MPDZ	hsa:8777	multiple PDZ domain crumbs cell polarity complex component
MPHOSPH10	hsa:10199	M-phase phosphoprotein 10
MPI	hsa:4351	mannose phosphate isomerase
MRAS	hsa:22808	muscle RAS oncogene homolog
MRE11	hsa:4361	MRE11 homolog, double strand break repair nuclease
MSR1	hsa:4481	macrophage scavenger receptor 1
MSX2	hsa:4488	msh homeobox 2
MTFMT	hsa:123263	mitochondrial methionyl-tRNA formyltransferase
MTHFR	hsa:4524	methylenetetrahydrofolate reductase
MTOR	hsa:2475	mechanistic target of rapamycin kinase
MTR	hsa:4548	5-methyltetrahydrofolate-homocysteine methyltransferase
MVK	hsa:4598	mevalonate kinase
MYC	hsa:4609	MYC proto-oncogene, bHLH transcription factor
MYCN	hsa:4613	MYCN proto-oncogene, bHLH transcription factor
MYH10	hsa:4628	myosin heavy chain 10
MYH14	hsa:79784	myosin heavy chain 14
MYH9	hsa:4627	myosin heavy chain 9
MYLK	hsa:4638	myosin light chain kinase
MYO1E	hsa:4643	myosin IE
MYO5A	hsa:4644	myosin VA
MYO5C	hsa:55930	myosin VC
NAGA	hsa:4668	alpha-N-acetylgalactosaminidase
NAGLU	hsa:4669	N-acetyl-alpha-glucosaminidase
NANS	hsa:54187	N-acetylneuraminate synthase
NARS1	hsa:4677	asparaginyl-tRNA synthetase 1
NARS2	hsa:79731	asparaginyl-tRNA synthetase 2, mitochondrial
NBN	hsa:4683	nibrin
NCKAP1	hsa:10787	NCK associated protein 1
NCOA1	hsa:8648	nuclear receptor coactivator 1
NCOA2	hsa:10499	nuclear receptor coactivator 2
NCOR1	hsa:9611	nuclear receptor corepressor 1
NCOR2	hsa:9612	nuclear receptor corepressor 2
ND5	hsa:4540	NADH dehydrogenase subunit 5
NDST1	hsa:3340	N-deacetylase and N-sulfotransferase 1
NDUFA1	hsa:4694	NADH:ubiquinone oxidoreductase subunit A1
NDUFA11	hsa:126328	NADH:ubiquinone oxidoreductase subunit A11
NDUFA5	hsa:4698	NADH:ubiquinone oxidoreductase subunit A5
NDUFA6	hsa:4700	NADH:ubiquinone oxidoreductase subunit A6
NDUFAF5	hsa:79133	NADH:ubiquinone oxidoreductase complex assembly factor 5
NDUFAF8	hsa:284184	NADH:ubiquinone oxidoreductase complex assembly factor 8
NDUFB8	hsa:4714	NADH:ubiquinone oxidoreductase subunit B8
NDUFS1	hsa:4719	NADH:ubiquinone oxidoreductase core subunit S1
NDUFS2	hsa:4720	NADH:ubiquinone oxidoreductase core subunit S2
NDUFS3	hsa:4722	NADH:ubiquinone oxidoreductase core subunit S3
NDUFS4	hsa:4724	NADH:ubiquinone oxidoreductase subunit S4
NDUFS7	hsa:374291	NADH:ubiquinone oxidoreductase core subunit S7
NDUFS8	hsa:4728	NADH:ubiquinone oxidoreductase core subunit S8
NDUFV1	hsa:4723	NADH:ubiquinone oxidoreductase core subunit V1
NECTIN1	hsa:5818	nectin cell adhesion molecule 1
NEDD4L	hsa:23327	NEDD4 like E3 ubiquitin protein ligase
NEGR1	hsa:257194	neuronal growth regulator 1
NEO1	hsa:4756	neogenin 1
NEU1	hsa:4758	neuraminidase 1
NF1	hsa:4763	neurofibromin 1
NFASC	hsa:23114	neurofascin
NFATC3	hsa:4775	nuclear factor of activated T cells 3
NGLY1	hsa:55768	N-glycanase 1
NKX2-2	hsa:4821	NK2 homeobox 2
NLGN1	hsa:22871	neuroligin 1
NLGN2	hsa:57555	neuroligin 2
NLGN3	hsa:54413	neuroligin 3
NLGN4X	hsa:57502	neuroligin 4 X-linked
NLGN4Y	hsa:22829	neuroligin 4 Y-linked
NLRP3	hsa:114548	NLR family pyrin domain containing 3
NMNAT1	hsa:64802	nicotinamide nucleotide adenylyltransferase 1
NOL6	hsa:65083	nucleolar protein 6
NPAS2	hsa:4862	neuronal PAS domain protein 2
NPC1	hsa:4864	NPC intracellular cholesterol transporter 1
NPC2	hsa:10577	NPC intracellular cholesterol transporter 2
NPRL2	hsa:10641	NPR2 like, GATOR1 complex subunit
NR1D1	hsa:9572	nuclear receptor subfamily 1 group D member 1
NR3C2	hsa:4306	nuclear receptor subfamily 3 group C member 2
NR4A2	hsa:4929	nuclear receptor subfamily 4 group A member 2
NRAS	hsa:4893	NRAS proto-oncogene, GTPase
NRCAM	hsa:4897	neuronal cell adhesion molecule
NRG2	hsa:9542	neuregulin 2
NRXN1	hsa:9378	neurexin 1
NRXN2	hsa:9379	neurexin 2
NRXN3	hsa:9369	neurexin 3
NSD1	hsa:64324	nuclear receptor binding SET domain protein 1
NSD2	hsa:7468	nuclear receptor binding SET domain protein 2
NSDHL	hsa:50814	NAD(P) dependent steroid dehydrogenase-like
NT5C2	hsa:22978	5'-nucleotidase, cytosolic II
NTNG1	hsa:22854	netrin G1
NTNG2	hsa:84628	netrin G2
NTRK1	hsa:4914	neurotrophic receptor tyrosine kinase 1
NTRK2	hsa:4915	neurotrophic receptor tyrosine kinase 2
NTRK3	hsa:4916	neurotrophic receptor tyrosine kinase 3
NUDT2	hsa:318	nudix hydrolase 2
NUP107	hsa:57122	nucleoporin 107
NUP133	hsa:55746	nucleoporin 133
NUP155	hsa:9631	nucleoporin 155
NUP188	hsa:23511	nucleoporin 188
NUP214	hsa:8021	nucleoporin 214
NUP37	hsa:79023	nucleoporin 37
NUS1	hsa:116150	NUS1 dehydrodolichyl diphosphate synthase subunit
NXF1	hsa:10482	nuclear RNA export factor 1
OCLN	hsa:100506658	occludin
OCRL	hsa:4952	OCRL inositol polyphosphate-5-phosphatase
ODC1	hsa:4953	ornithine decarboxylase 1
OGT	hsa:8473	O-linked N-acetylglucosamine (GlcNAc) transferase
OPA1	hsa:4976	OPA1 mitochondrial dynamin like GTPase
OR1C1	hsa:26188	olfactory receptor family 1 subfamily C member 1
OR2M4	hsa:26245	olfactory receptor family 2 subfamily M member 4
OR2T10	hsa:127069	olfactory receptor family 2 subfamily T member 10
OR2T8	hsa:343172	olfactory receptor family 2 subfamily T member 8
OR52M1	hsa:119772	olfactory receptor family 52 subfamily M member 1
ORC1	hsa:4998	origin recognition complex subunit 1
ORC4	hsa:5000	origin recognition complex subunit 4
ORC6	hsa:23594	origin recognition complex subunit 6
OTC	hsa:5009	ornithine transcarbamylase
OTX1	hsa:5013	orthodenticle homeobox 1
OXT	hsa:5020	oxytocin/neurophysin I prepropeptide
OXTR	hsa:5021	oxytocin receptor
P2RX5	hsa:5026	purinergic receptor P2X 5
P4HA2	hsa:8974	prolyl 4-hydroxylase subunit alpha 2
PAFAH1B1	hsa:5048	platelet activating factor acetylhydrolase 1b regulatory subunit 1
PAFAH1B2	hsa:5049	platelet activating factor acetylhydrolase 1b catalytic subunit 2
PAFAH1B3	hsa:5050	platelet activating factor acetylhydrolase 1b catalytic subunit 3
PAH	hsa:5053	phenylalanine hydroxylase
PAK1	hsa:5058	p21 (RAC1) activated kinase 1
PAK2	hsa:5062	p21 (RAC1) activated kinase 2
PAK3	hsa:5063	p21 (RAC1) activated kinase 3
PANK2	hsa:80025	pantothenate kinase 2
PAPOLG	hsa:64895	poly(A) polymerase gamma
PARN	hsa:5073	poly(A)-specific ribonuclease
PARS2	hsa:25973	prolyl-tRNA synthetase 2, mitochondrial
PATJ	hsa:10207	PATJ crumbs cell polarity complex component
PAX3	hsa:5077	paired box 3
PAX5	hsa:5079	paired box 5
PAX6	hsa:5080	paired box 6
PAX8	hsa:7849	paired box 8
PBX1	hsa:5087	PBX homeobox 1
PC	hsa:5091	pyruvate carboxylase
PCBD1	hsa:5092	pterin-4 alpha-carbinolamine dehydratase 1
PCCA	hsa:5095	propionyl-CoA carboxylase subunit alpha
PCCB	hsa:5096	propionyl-CoA carboxylase subunit beta
PCGF2	hsa:7703	polycomb group ring finger 2
PCLO	hsa:27445	piccolo presynaptic cytomatrix protein
PCYT2	hsa:5833	phosphate cytidylyltransferase 2, ethanolamine
PDCD1	hsa:5133	programmed cell death 1
PDE10A	hsa:10846	phosphodiesterase 10A
PDE1C	hsa:5137	phosphodiesterase 1C
PDE2A	hsa:5138	phosphodiesterase 2A
PDE4D	hsa:5144	phosphodiesterase 4D
PDE6D	hsa:5147	phosphodiesterase 6D
PDGFRB	hsa:5159	platelet derived growth factor receptor beta
PDHA1	hsa:5160	pyruvate dehydrogenase E1 subunit alpha 1
PDHX	hsa:8050	pyruvate dehydrogenase complex component X
PDK2	hsa:5164	pyruvate dehydrogenase kinase 2
PDSS1	hsa:23590	decaprenyl diphosphate synthase subunit 1
PDSS2	hsa:57107	decaprenyl diphosphate synthase subunit 2
PER1	hsa:5187	period circadian regulator 1
PER2	hsa:8864	period circadian regulator 2
PEX1	hsa:5189	peroxisomal biogenesis factor 1
PEX10	hsa:5192	peroxisomal biogenesis factor 10
PEX11B	hsa:8799	peroxisomal biogenesis factor 11 beta
PEX12	hsa:5193	peroxisomal biogenesis factor 12
PEX13	hsa:5194	peroxisomal biogenesis factor 13
PEX14	hsa:5195	peroxisomal biogenesis factor 14
PEX16	hsa:9409	peroxisomal biogenesis factor 16
PEX19	hsa:5824	peroxisomal biogenesis factor 19
PEX2	hsa:5828	peroxisomal biogenesis factor 2
PEX26	hsa:55670	peroxisomal biogenesis factor 26
PEX3	hsa:8504	peroxisomal biogenesis factor 3
PEX5	hsa:5830	peroxisomal biogenesis factor 5
PEX6	hsa:5190	peroxisomal biogenesis factor 6
PEX7	hsa:5191	peroxisomal biogenesis factor 7
PGAP1	hsa:80055	post-GPI attachment to proteins inositol deacylase 1
PGK1	hsa:5230	phosphoglycerate kinase 1
PGM3	hsa:5238	phosphoglucomutase 3
PHGDH	hsa:26227	phosphoglycerate dehydrogenase
PHLPP1	hsa:23239	PH domain and leucine rich repeat protein phosphatase 1
PIAS4	hsa:51588	protein inhibitor of activated STAT 4
PIDD1	hsa:55367	p53-induced death domain protein 1
PIGA	hsa:5277	phosphatidylinositol glycan anchor biosynthesis class A
PIGB	hsa:9488	phosphatidylinositol glycan anchor biosynthesis class B
PIGC	hsa:5279	phosphatidylinositol glycan anchor biosynthesis class C
PIGG	hsa:54872	phosphatidylinositol glycan anchor biosynthesis class G
PIGH	hsa:5283	phosphatidylinositol glycan anchor biosynthesis class H
PIGK	hsa:10026	phosphatidylinositol glycan anchor biosynthesis class K
PIGL	hsa:9487	phosphatidylinositol glycan anchor biosynthesis class L
PIGN	hsa:23556	phosphatidylinositol glycan anchor biosynthesis class N
PIGO	hsa:84720	phosphatidylinositol glycan anchor biosynthesis class O
PIGP	hsa:51227	phosphatidylinositol glycan anchor biosynthesis class P
PIGQ	hsa:9091	phosphatidylinositol glycan anchor biosynthesis class Q
PIGS	hsa:94005	phosphatidylinositol glycan anchor biosynthesis class S
PIGT	hsa:51604	phosphatidylinositol glycan anchor biosynthesis class T
PIGU	hsa:128869	phosphatidylinositol glycan anchor biosynthesis class U
PIGV	hsa:55650	phosphatidylinositol glycan anchor biosynthesis class V
PIGW	hsa:284098	phosphatidylinositol glycan anchor biosynthesis class W
PIGY	hsa:84992	phosphatidylinositol glycan anchor biosynthesis class Y
PIK3CA	hsa:5290	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
PIK3CD	hsa:5293	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
PIK3CG	hsa:5294	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
PIK3R1	hsa:5295	phosphoinositide-3-kinase regulatory subunit 1
PIK3R2	hsa:5296	phosphoinositide-3-kinase regulatory subunit 2
PISD	hsa:23761	phosphatidylserine decarboxylase
PKN2	hsa:5586	protein kinase N2
PLA2G6	hsa:8398	phospholipase A2 group VI
PLAA	hsa:9373	phospholipase A2 activating protein
PLAUR	hsa:5329	plasminogen activator, urokinase receptor
PLCB1	hsa:23236	phospholipase C beta 1
PLCD4	hsa:84812	phospholipase C delta 4
PLCG2	hsa:5336	phospholipase C gamma 2
PLK4	hsa:10733	polo like kinase 4
PLN	hsa:5350	phospholamban
PLXNA1	hsa:5361	plexin A1
PLXNA3	hsa:55558	plexin A3
PLXNA4	hsa:91584	plexin A4
PLXNB1	hsa:5364	plexin B1
PMM2	hsa:5373	phosphomannomutase 2
PNP	hsa:4860	purine nucleoside phosphorylase
PNPLA6	hsa:10908	patatin like phospholipase domain containing 6
PNPLA7	hsa:375775	patatin like phospholipase domain containing 7
PNPO	hsa:55163	pyridoxamine 5'-phosphate oxidase
PNPT1	hsa:87178	polyribonucleotide nucleotidyltransferase 1
POLA1	hsa:5422	DNA polymerase alpha 1, catalytic subunit
POLA2	hsa:23649	DNA polymerase alpha 2, accessory subunit
POLR1A	hsa:25885	RNA polymerase I subunit A
POLR1C	hsa:9533	RNA polymerase I and III subunit C
POLR2A	hsa:5430	RNA polymerase II subunit A
POLR3A	hsa:11128	RNA polymerase III subunit A
POLR3B	hsa:55703	RNA polymerase III subunit B
POMGNT1	hsa:55624	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)
POMGNT2	hsa:84892	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)
POMK	hsa:84197	protein O-mannose kinase
POMT1	hsa:10585	protein O-mannosyltransferase 1
POMT2	hsa:29954	protein O-mannosyltransferase 2
PORCN	hsa:64840	porcupine O-acyltransferase
PPM1B	hsa:5495	protein phosphatase, Mg2+/Mn2+ dependent 1B
PPM1D	hsa:8493	protein phosphatase, Mg2+/Mn2+ dependent 1D
PPP1CB	hsa:5500	protein phosphatase 1 catalytic subunit beta
PPP1R12A	hsa:4659	protein phosphatase 1 regulatory subunit 12A
